Timestamp,Object,Tag,Note,Kaukolämpö,Öljylämmitys,Sähkölämmitys,Kulutussähkö,Henkilöautot,Muu.tieliikenne,Raideliikenne,Laivat.ja.veneet,Muu.polttoaine,Yhteensä
2015-01-01,Pääkaupunkiseutu,Per asukas,"Lämmitystarvekorjattu, kWh",9870.49,704.9,994.3,6213.53,2780.09,1587.76,128.78,320.39,355.42,22955.65
2015-01-01,Helsinki,Per asukas,"Lämmitystarvekorjattu, kWh",11214.26,536.71,541.98,6266.01,2159.18,1225.89,182.6,536.62,236.81,22900.06
2015-01-01,Vantaa,Per asukas,"Lämmitystarvekorjattu, kWh",8309.63,887.92,1699.5,6711.06,4236.19,2576.53,60.15,6.66,867.21,25354.85
2015-01-01,Espoo,Per asukas,"Lämmitystarvekorjattu, kWh",8004.94,887.68,1462.49,5765.9,3087.38,1628.89,60.15,76.32,231.38,21205.13
2015-01-01,Kauniainen,Per asukas,"Lämmitystarvekorjattu, kWh",9010.41,2536.98,1762.87,4208.58,2336.7,2085.73,60.15,0,185.76,22187.17
2014-01-01,Pääkaupunkiseutu,Per asukas,"Lämmitystarvekorjattu, kWh",9874.77,686.37,999.07,6334.93,2702.02,1790.46,125.24,306.63,361.96,23181.46
2014-01-01,Helsinki,Per asukas,"Lämmitystarvekorjattu, kWh",11266.41,485.22,546.72,6410.3,2114.93,1350.43,179.45,510.59,242.02,23106.08
2014-01-01,Vantaa,Per asukas,"Lämmitystarvekorjattu, kWh",8411.32,908.27,1703.54,6893.17,4027.72,2974.5,55.81,6.78,883.17,25864.27
2014-01-01,Espoo,Per asukas,"Lämmitystarvekorjattu, kWh",7807.96,914.09,1472.6,5763.2,3025.06,1862.22,55.81,77.58,235.33,21213.85
2014-01-01,Kauniainen,Per asukas,"Lämmitystarvekorjattu, kWh",8969.45,2598.93,1767.51,4974.95,2706.84,2339.12,55.81,0,189.54,23602.14
2013-01-01,Pääkaupunkiseutu,Per asukas,"Lämmitystarvekorjattu, kWh",9886.97,703.24,1006.7,6482.05,2781,1877.1,126.32,341.41,430.15,23634.94
2013-01-01,Helsinki,Per asukas,"Lämmitystarvekorjattu, kWh",11277.94,496.07,553.76,6533.72,2164.48,1404.79,180.63,562.51,287.93,23461.82
2013-01-01,Vantaa,Per asukas,"Lämmitystarvekorjattu, kWh",8360.75,931.25,1709.35,7057.55,4193.12,3083.46,56.66,10.91,1078.2,26481.25
2013-01-01,Espoo,Per asukas,"Lämmitystarvekorjattu, kWh",7861.56,940.28,1481.2,5976.18,3103.6,2006.5,56.66,97.29,255.33,21778.6
2013-01-01,Kauniainen,Per asukas,"Lämmitystarvekorjattu, kWh",9121.68,2651.11,1855.56,4339.2,2779.52,2401.57,56.66,0,201.55,23406.85
2012-01-01,Pääkaupunkiseutu,Per asukas,"Lämmitystarvekorjattu, kWh",10154.98,719.81,1009.67,6735.42,2860.63,1932.53,127.35,349.46,424.49,24314.33
2012-01-01,Helsinki,Per asukas,"Lämmitystarvekorjattu, kWh",11554.04,507.16,557.89,6781.15,2228.53,1446.7,181.52,580.08,274.74,24111.81
2012-01-01,Vantaa,Per asukas,"Lämmitystarvekorjattu, kWh",8617.91,954.56,1710.21,7312.35,4347.67,3200.52,57.85,9.87,1098.42,27309.36
2012-01-01,Espoo,Per asukas,"Lämmitystarvekorjattu, kWh",8114.1,963.17,1482.97,6240.64,3160.08,2044.69,57.85,90.36,246.27,22400.11
2012-01-01,Kauniainen,Per asukas,"Lämmitystarvekorjattu, kWh",9509.88,2718.43,1869.04,4608.22,2843.26,2439.78,57.85,0,194.91,24241.37
