Timestamp,Opening,High,Low,Closing,Average,Volume,Turnover,Trades
2017-12-29,3.938,3.97,3.884,3.894,3.912,17997237,70399124.07,11086
2017-12-28,3.972,3.98,3.92,3.938,3.939,17494849,68910921.61,8849
2017-12-27,4,4.04,3.946,3.998,3.985,18324984,73022388.43,9165
2017-12-22,4.03,4.076,4.012,4.034,4.045,19652667,79493627.45,10410
2017-12-21,3.926,4.05,3.922,4.028,3.992,30060423,120007491.41,13147
2017-12-20,3.95,3.954,3.872,3.874,3.898,19127112,74565387.3,9095
2017-12-19,3.968,4,3.944,3.954,3.977,17145542,68192942.57,8369
2017-12-18,3.914,4.004,3.908,3.984,3.971,21816953,86638590.49,10276
2017-12-15,3.926,3.936,3.888,3.92,3.917,37325745,146208840.88,9784
2017-12-14,3.97,3.996,3.902,3.912,3.93,19916092,78265046.96,9812
2017-12-13,3.88,3.988,3.872,3.954,3.945,29509802,116419391.11,13384
2017-12-12,3.882,3.896,3.81,3.87,3.861,26006815,100415672.48,13244
2017-12-11,3.95,3.958,3.866,3.9,3.905,23838063,93089188.45,11467
2017-12-08,3.93,3.982,3.914,3.934,3.942,22889256,90235383.1,11508
2017-12-07,4,4.01,3.92,3.92,3.959,31166056,123388961.85,13339
2017-12-05,4.01,4.046,3.982,4.022,4.02,20681064,83133482.03,10421
2017-12-04,4.144,4.15,3.992,4.014,4.035,36527691,147396142.02,17795
2017-12-01,4.21,4.222,4.124,4.132,4.156,22823834,94865799.75,11557
2017-11-30,4.22,4.226,4.18,4.216,4.211,36813338,155014264.28,8967
2017-11-29,4.24,4.306,4.21,4.21,4.25,17782284,75579181.36,8977
2017-11-28,4.206,4.236,4.196,4.212,4.214,16232728,68409923.83,7972
2017-11-27,4.256,4.258,4.188,4.202,4.214,17073812,71944713.13,8477
2017-11-24,4.242,4.298,4.23,4.26,4.264,16767957,71497017.66,7696
2017-11-23,4.264,4.28,4.222,4.236,4.245,13547738,57526877.6,5990
2017-11-22,4.288,4.308,4.266,4.268,4.287,16567930,71024320.7,7804
2017-11-21,4.28,4.322,4.24,4.286,4.285,25581108,109603277.16,11370
2017-11-20,4.19,4.296,4.172,4.28,4.249,22173546,94217737.51,10981
2017-11-17,4.18,4.224,4.166,4.178,4.195,22000245,92285883.54,11584
2017-11-16,4.15,4.18,4.146,4.158,4.165,19524493,81325919.88,10723
2017-11-15,4.09,4.13,4.038,4.108,4.087,21453886,87686131.18,12684
2017-11-14,4.18,4.184,4.084,4.102,4.122,20398570,84075298.96,11367
2017-11-13,4.218,4.218,4.142,4.18,4.18,17215178,71952176.32,10163
2017-11-10,4.262,4.268,4.204,4.204,4.222,21735316,91773897.72,10792
2017-11-09,4.356,4.36,4.238,4.268,4.29,21766152,93383634.92,10817
2017-11-08,4.41,4.434,4.328,4.352,4.363,26922314,117468750.2,12062
2017-11-07,4.442,4.464,4.294,4.358,4.363,36471652,159080164.43,16295
2017-11-06,4.358,4.468,4.342,4.43,4.402,30314065,133453161.48,13229
2017-11-03,4.358,4.36,4.258,4.322,4.313,17396405,75029700.13,9495
2017-11-02,4.324,4.35,4.292,4.348,4.333,24184367,104842358,10372
2017-11-01,4.244,4.326,4.218,4.292,4.272,25554494,109176092.03,12850
2017-10-31,4.198,4.248,4.192,4.216,4.217,32069535,135227976.95,14028
2017-10-30,4.264,4.286,4.158,4.174,4.21,29996015,126285688.47,16789
2017-10-27,4.216,4.388,4.17,4.222,4.279,60632326,259480379.21,34584
2017-10-26,4.58,4.58,4.184,4.206,4.334,112720678,488553690.43,62187
2017-10-25,5.12,5.125,5.065,5.1,5.101,12342005,62952196.62,5679
2017-10-24,5.185,5.195,5.11,5.11,5.133,11482859,58944086.57,5329
2017-10-23,5.21,5.225,5.15,5.175,5.185,14401285,74667667.05,7340
2017-10-20,4.992,5.195,4.99,5.16,5.109,27130885,138621891.84,11844
2017-10-19,5.01,5.015,4.882,4.968,4.953,14808397,73338487.64,7913
2017-10-18,5,5.04,4.98,4.986,5.004,9346344,46765802.9,5371
2017-10-17,4.99,5.015,4.98,4.998,4.999,7827236,39129000.67,4157
2017-10-16,5.035,5.065,4.984,4.988,5.016,9542149,47862932.06,4753
2017-10-13,4.978,5.055,4.96,5.005,5.007,14285274,71532719.59,6663
2017-10-12,4.95,4.968,4.864,4.942,4.928,20394169,100491249.04,12622
2017-10-11,5.025,5.035,4.97,4.986,4.993,14623016,73016295.72,8057
2017-10-10,5.065,5.095,5.015,5.02,5.045,11080594,55900642.04,4926
2017-10-09,5.075,5.09,5.035,5.09,5.073,10476506,53150653.05,5046
2017-10-06,5.095,5.095,5.04,5.055,5.059,12219721,61813452.95,5921
2017-10-05,5.05,5.09,5.015,5.085,5.06,12789854,64722030.14,6675
2017-10-04,5.11,5.115,5.05,5.055,5.068,11977530,60702219.14,5438
2017-10-03,5.11,5.14,5.09,5.115,5.118,7969152,40789823.94,3904
2017-10-02,5.085,5.115,5.075,5.09,5.092,11988246,61037802.64,5346
2017-09-29,5.025,5.08,4.982,5.08,5.043,21490739,108380072.77,7843
2017-09-28,5.02,5.045,5.01,5.03,5.031,11582732,58271433.41,4947
2017-09-27,5.06,5.065,4.992,5.005,5.024,14419534,72441836.17,6406
2017-09-26,5.045,5.09,5.02,5.05,5.055,11108644,56152038.13,5574
2017-09-25,5.04,5.08,5.015,5.05,5.051,10711312,54108275.49,5679
2017-09-22,5.06,5.095,5.01,5.05,5.048,20253268,102239089.7,8667
2017-09-21,5.185,5.2,5.12,5.12,5.144,11027157,56720440.77,5322
2017-09-20,5.215,5.24,5.17,5.17,5.201,11450741,59555087.52,5477
2017-09-19,5.22,5.26,5.2,5.215,5.224,14003179,73157123.32,6449
2017-09-18,5.23,5.265,5.215,5.24,5.242,14847739,77834858.74,7257
2017-09-15,5.075,5.22,5.06,5.2,5.188,48518226,251674770.86,14233
2017-09-14,5.05,5.09,5.04,5.075,5.07,15916524,80698887.86,6628
2017-09-13,5.11,5.125,5.045,5.08,5.078,16662187,84611684.46,6477
2017-09-12,5.12,5.155,5.095,5.1,5.12,17657695,90412551.69,8580
2017-09-11,5.085,5.13,5.045,5.095,5.097,21374925,108938047.6,10199
2017-09-08,5.125,5.14,4.972,4.996,5.026,35860739,180205477.66,16825
2017-09-07,5.18,5.25,5.155,5.17,5.191,17927071,93056195.35,7698
2017-09-06,5.125,5.17,5.1,5.16,5.146,11103294,57134181.93,5923
2017-09-05,5.19,5.225,5.135,5.155,5.178,11667712,60421230.28,5576
2017-09-04,5.185,5.205,5.165,5.19,5.184,11598797,60254110.88,4386
2017-09-01,5.21,5.285,5.21,5.235,5.252,12710631,66757454.72,6350
2017-08-31,5.19,5.235,5.17,5.205,5.203,17921564,93239162.4,7092
2017-08-30,5.2,5.2,5.15,5.16,5.173,11252425,58206251.98,5810
2017-08-29,5.14,5.16,5.095,5.14,5.127,18064096,92606016.31,9555
2017-08-28,5.205,5.235,5.14,5.2,5.188,9650475,50070637.8,5851
2017-08-25,5.24,5.29,5.23,5.23,5.253,10018525,52627522.4,5376
2017-08-24,5.31,5.315,5.23,5.23,5.253,11322184,59479884.9,5627
2017-08-23,5.29,5.33,5.25,5.275,5.287,11091831,58640481.36,5857
2017-08-22,5.225,5.295,5.225,5.28,5.273,10104563,53282622.59,5759
2017-08-21,5.255,5.26,5.195,5.225,5.225,12164698,63556835.48,6918
2017-08-18,5.335,5.335,5.23,5.26,5.273,18806806,99158822.79,10005
2017-08-17,5.405,5.44,5.335,5.37,5.389,12450626,67100279.43,6644
2017-08-16,5.41,5.455,5.4,5.425,5.434,9835100,53439809.24,4758
2017-08-15,5.395,5.435,5.385,5.395,5.405,8954482,48402856.23,4983
2017-08-14,5.3,5.38,5.3,5.375,5.355,10464702,56033141.92,5414
2017-08-11,5.31,5.335,5.255,5.28,5.288,14413749,76226137.98,8566
2017-08-10,5.42,5.45,5.35,5.36,5.392,14056872,75789377.75,7825
2017-08-09,5.475,5.48,5.39,5.425,5.423,17135356,92925694.61,9182
2017-08-08,5.51,5.545,5.49,5.53,5.52,9454805,52192023.39,5016
2017-08-07,5.57,5.575,5.5,5.525,5.529,8780905,48548423.66,5054
2017-08-04,5.525,5.58,5.49,5.56,5.55,12155973,67466358.97,6999
2017-08-03,5.48,5.54,5.445,5.515,5.501,12224567,67242410.33,6561
2017-08-02,5.55,5.57,5.5,5.5,5.528,15847484,87608436.19,8709
2017-08-01,5.525,5.53,5.44,5.52,5.496,22577199,124092394.53,10789
2017-07-31,5.425,5.45,5.37,5.38,5.4,21583525,116548488.11,9577
2017-07-28,5.44,5.455,5.355,5.39,5.395,22080637,119129931.71,12304
2017-07-27,5.42,5.635,5.4,5.485,5.523,36972547,204134475.07,19239
2017-07-26,5.3,5.35,5.29,5.32,5.318,17377466,92418920.03,8935
2017-07-25,5.31,5.335,5.25,5.28,5.283,23009223,121546663.15,10882
2017-07-24,5.31,5.37,5.28,5.325,5.324,14711153,78322212.06,7611
2017-07-21,5.38,5.41,5.28,5.325,5.339,19666213,105005378.9,11461
2017-07-20,5.425,5.475,5.345,5.4,5.413,16259190,88018584.26,9706
2017-07-19,5.36,5.425,5.345,5.42,5.393,14379154,77545992.59,8626
2017-07-18,5.4,5.41,5.295,5.315,5.338,33332053,177935513.89,18588
2017-07-17,5.525,5.53,5.475,5.51,5.51,9683645,53353138.85,5470
2017-07-14,5.56,5.565,5.475,5.495,5.508,11652806,64204130.41,6081
2017-07-13,5.59,5.595,5.51,5.525,5.541,11544879,63973786.29,5586
2017-07-12,5.445,5.565,5.425,5.56,5.508,15488758,85317083.96,7764
2017-07-11,5.5,5.51,5.41,5.41,5.454,13845436,75505897.62,6979
2017-07-10,5.485,5.5,5.44,5.485,5.476,8785391,48112620.47,4574
2017-07-07,5.4,5.475,5.375,5.475,5.44,12234764,66558641.98,6596
2017-07-06,5.5,5.515,5.38,5.42,5.425,18224349,98858208.33,9399
2017-07-05,5.43,5.53,5.425,5.475,5.486,15817994,86781923.68,8634
2017-07-04,5.44,5.445,5.405,5.41,5.418,6810689,36901766.42,3935
2017-07-03,5.405,5.48,5.395,5.46,5.447,11913026,64891651.74,6298
2017-06-30,5.4,5.515,5.355,5.355,5.409,21968994,118836437.31,11300
2017-06-29,5.6,5.65,5.395,5.41,5.487,19855295,108951569.5,11376
2017-06-28,5.55,5.615,5.46,5.57,5.551,18094465,100448773.53,11165
2017-06-27,5.67,5.68,5.555,5.59,5.592,20840429,116505987.87,10925
2017-06-26,5.68,5.78,5.675,5.7,5.721,16916751,96777752.48,9463
2017-06-22,5.72,5.765,5.685,5.76,5.73,13215101,75722097.76,7591
2017-06-21,5.74,5.75,5.665,5.745,5.718,14820595,84745472.43,8694
2017-06-20,5.795,5.835,5.785,5.785,5.804,15789398,91648645.09,7975
2017-06-19,5.78,5.8,5.74,5.795,5.778,12920303,74647315.77,6856
2017-06-16,5.71,5.755,5.67,5.72,5.716,34445469,196878463.76,11283
2017-06-15,5.7,5.715,5.615,5.69,5.67,22487759,127517012.79,12884
2017-06-14,5.735,5.805,5.69,5.695,5.746,16583031,95284226.35,9487
2017-06-13,5.685,5.78,5.68,5.735,5.747,14099651,81024942.35,7841
2017-06-12,5.68,5.76,5.61,5.68,5.674,20817423,118117141.74,12381
