Timestamp,Opening,High,Low,Closing
2017-12-29,3929.72,3937.55,3909.21,3917.97
2017-12-28,3947.85,3947.77,3925.59,3929.72
2017-12-27,3942.27,3949.52,3924.18,3947.85
2017-12-22,3945,3951.63,3932.22,3942.27
2017-12-21,3920.41,3950.46,3910.32,3945
2017-12-20,3944.67,3945.69,3917.23,3920.41
2017-12-19,3944.9,3962.04,3937.16,3944.67
2017-12-18,3903.5,3948.15,3906.71,3944.9
2017-12-15,3899.57,3904.01,3878.64,3903.5
2017-12-14,3924.65,3927.69,3898.42,3899.57
2017-12-13,3899.65,3929.64,3756.82,3924.65
2017-12-12,3893.6,3899.65,3860.99,3899.65
2017-12-11,3888.94,3899.68,3874.82,3893.6
2017-12-08,3864.18,3899.73,3868.79,3888.94
2017-12-07,3887.73,3895.65,3863.04,3864.18
2017-12-05,3892.01,3913.21,3877.51,3887.73
2017-12-04,3874.82,3911.55,3879.23,3892.01
2017-12-01,3914.4,3915.1,3872.44,3874.82
2017-11-30,3924.15,3935.57,3911.87,3914.4
2017-11-29,3915.81,3958.99,3921.08,3924.15
2017-11-28,3901.54,3918.14,3899.26,3915.81
2017-11-27,3942.38,3942.38,3901.26,3901.54
2017-11-24,3941.49,3955.58,3931.92,3942.38
2017-11-23,3951.21,3951.2,3916.57,3941.49
2017-11-22,3967.63,3984.61,3951.21,3951.21
2017-11-21,3963.76,3984.29,3935.89,3967.63
2017-11-20,3935.72,3972.07,3924.04,3963.76
2017-11-17,3949.04,3962.33,3928.99,3935.72
2017-11-16,3915.26,3959.04,3918.33,3949.04
2017-11-15,3929.04,3929.04,3883.7,3915.26
2017-11-14,3950.72,3967.79,3920.91,3929.04
2017-11-13,3969.43,3980.1,3926.76,3950.72
2017-11-10,3981.18,3993.58,3969.43,3969.43
2017-11-09,4042.68,4042.68,3974.91,3981.18
2017-11-08,4047.35,4071.97,4021.07,4042.68
2017-11-07,4074.78,4080.46,4043.7,4047.35
2017-11-06,4061.38,4082.61,4056.58,4074.78
2017-11-03,4049.38,4069.34,4043.36,4061.38
2017-11-02,4051.14,4063.94,4037.29,4049.38
2017-11-01,4026.98,4070.64,4026.86,4051.14
2017-10-31,4044.41,4045.83,4026.98,4026.98
2017-10-30,4078.91,4085.53,4036.08,4044.41
2017-10-27,4034.02,4085.81,4020.92,4078.91
2017-10-26,4100.13,4107.8,4014.96,4034.02
2017-10-25,4123.22,4123.22,4086.69,4100.13
2017-10-24,4124.15,4144.44,4107.01,4123.22
2017-10-23,4090.51,4124.67,4081.21,4124.15
2017-10-20,4052.96,4093.15,4053.32,4090.51
2017-10-19,4053,4061.51,4024.5,4052.96
2017-10-18,4049.12,4065.81,4040.17,4053
2017-10-17,4048.7,4054.91,4041.1,4049.12
2017-10-16,4048.17,4054.39,4044.37,4048.7
2017-10-13,4043.23,4052.88,4033.38,4048.17
2017-10-12,4039.83,4054.46,4033.5,4043.23
2017-10-11,4046.32,4053.8,4033,4039.83
2017-10-10,4051.41,4052.85,4034.18,4046.32
2017-10-09,4028.09,4053.9,4022.54,4051.41
2017-10-06,4042.77,4053.34,4024.57,4028.09
2017-10-05,4028.13,4045.11,4026.24,4042.77
2017-10-04,4026.43,4035.14,4016.98,4028.13
2017-10-03,3995.05,4026.59,3995.05,4026.43
2017-10-02,3976.23,3999.65,3975.95,3995.05
2017-09-29,3979.38,3979.38,3945.99,3976.23
2017-09-28,3944.71,3979.38,3944.6,3979.38
2017-09-27,3941.09,3953.82,3936.38,3944.71
2017-09-26,3938.09,3951.59,3929.73,3941.09
2017-09-25,3945.88,3945.98,3931.86,3938.09
2017-09-22,3955.6,3954.27,3929.1,3945.88
2017-09-21,3952.86,3964.53,3942.94,3955.6
2017-09-20,3950.9,3968.52,3948.85,3952.86
2017-09-19,3946.26,3961.31,3943.85,3950.9
2017-09-18,3918.44,3952.57,3918.44,3946.26
2017-09-15,3923.12,3934.14,3913.16,3918.44
2017-09-14,3943.84,3943.84,3915.32,3923.12
2017-09-13,3956.71,3956.71,3933.33,3943.84
2017-09-12,3925.42,3965.59,3925.42,3956.71
